,follower_count,friend_count,geo,location,name,place,retweet_count,screen_name,source,status_id,status_text,time_zone,tmstamp
445,302,202,,"Multan, Pakistan",Engr. Jawwad Sadiq,,0,kitharass,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",943201227395010563,"@vergecurrency @Digi_Thor Unfortunately, I don't find forecasts of the experts for $XVG on twitter like I find pric… https://t.co/mzRbXsaPKc",Karachi,Tue Dec 19 19:27:51 +0000 2017
446,107,267,,The Moon,J Langley,,15,Jmoney_2289,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",943201201306210304,"RT @XVGWhale: $XVG's main volume source is #bittrex, and #binance, but I'm trying to change that by promoting #hitbtc also by using the fol…",,Tue Dec 19 19:27:44 +0000 2017
447,218,88,,"Oberhausen, Deutschland",Dan Don,,0,DanDonCrypto,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",943201183598108677,@cornell_tech @secparam @zcashco @FortuneMagazine No he can´t cause #xvg #verge is the most privacy coin on earth r… https://t.co/RfeIQ7BsZY,Pacific Time (US & Canada),Tue Dec 19 19:27:40 +0000 2017
448,107,267,,The Moon,J Langley,,0,Jmoney_2289,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",943201179890171904,@XVGWhale Cryptopia is another good one IMO #Verge #XVG,,Tue Dec 19 19:27:39 +0000 2017
449,53,0,,,The Idiot,,0,Prince_Mishkin,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",943201152635678720,Remember just a few hours ago $xvg was fighting for 320?,,Tue Dec 19 19:27:33 +0000 2017
450,9,35,,,Prasad,,0,Prasad32508075,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",943201152299970560,XVG going to moon again 🚀🚀🚀🚀🚀🚀🚀,,Tue Dec 19 19:27:33 +0000 2017
451,23,123,,,Zach,,15,zzhoffmeister,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",943201113775501312,"RT @XVGWhale: $XVG's main volume source is #bittrex, and #binance, but I'm trying to change that by promoting #hitbtc also by using the fol…",,Tue Dec 19 19:27:24 +0000 2017
452,5183,1090,,"Boston, MA",MEGAGAME® [XVG] VERGE,,15,MegaGame1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",943201072851628032,"RT @XVGWhale: $XVG's main volume source is #bittrex, and #binance, but I'm trying to change that by promoting #hitbtc also by using the fol…",Atlantic Time (Canada),Tue Dec 19 19:27:14 +0000 2017
453,93,2212,,"USA, Connecticut",david karon,,2280,TunisKaronllpu,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",943201044707688450,RT @officialmcafee: I am inundated by people asking me for recommendations on cryptocurrencies. If you would use your heads you would figur…,,Tue Dec 19 19:27:07 +0000 2017
454,259,0,,Turkey,BotsForCoins,,0,CatcherForYou,"<a href=""http://176.240.73.108"" rel=""nofollow"">coinsData</a>",943201027997818880,"22:20 saati Binance Borsasında (BTC - Bandında)
 En Çok Yükselen 5 :
 $SNM : %4.47 
 $OST : %1.65 
 $MTH : %1.61… https://t.co/LhfDbxd2uk",,Tue Dec 19 19:27:03 +0000 2017
455,26,36,,,Fred Furiouz 🇳🇱,,3,FredFuriouz,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",943201020007641091,"RT @aravindc82: $XVG @vergecurrency @verge
-Community developed (Not owner privately and not pre-mined)
-Secure and anonymous
1+ Billion ma…",,Tue Dec 19 19:27:01 +0000 2017
456,15753,1194,,Pluuuutohhh,XVG Whale,,15,XVGWhale,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",943201014387232769,"$XVG's main volume source is #bittrex, and #binance, but I'm trying to change that by promoting #hitbtc also by usi… https://t.co/eVnroMNTJs",,Tue Dec 19 19:27:00 +0000 2017
457,1973,633,,Secret,VergeLife,,0,VergeLife,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",943201007009443840,"@imRonvanVliet @justinvendetta I'm being conservative in an effort to preserve my humility

Go $XVG",,Tue Dec 19 19:26:58 +0000 2017
458,50,133,,,soberunicorn,,13,soberunic0rn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",943200996137807873,"RT @WebdeveIoper: You want to afford your wife, kids or other family members nice Christmas presents?

Buy $strat right now.

It's time.

🌖…",,Tue Dec 19 19:26:55 +0000 2017
459,37,408,,,OKD,,13,OKD121,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",943200941754474498,"RT @WebdeveIoper: You want to afford your wife, kids or other family members nice Christmas presents?

Buy $strat right now.

It's time.

🌖…",,Tue Dec 19 19:26:42 +0000 2017
460,111,4415,,"Sacramento, California",Nancy,,2280,nancy____rivera,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",943200916437684225,RT @officialmcafee: I am inundated by people asking me for recommendations on cryptocurrencies. If you would use your heads you would figur…,,Tue Dec 19 19:26:36 +0000 2017
461,14,74,,,Michael Chusid,,137,Drmchu1,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",943200915594661888,"RT @vergecurrency: Comprehensive article by @Digi_Thor about Verge
See here: https://t.co/Pg2iBzOTAE

#xvg #verge #vergenews #privacy #tor…",,Tue Dec 19 19:26:36 +0000 2017
